"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"58",-2.26e-296,-2.21e-296,-2.2e-296,-2.27e-296,-2.21e-296,-2.2e-296,-2.27e-296,-2.26e-296,-2.2e-296,-2.27e-296,-2.26e-296,-2.21e-296
"59",-6.12e-296,-5.96e-296,-5.98e-296,-6.12e-296,-5.96e-296,-5.98e-296,-6.12e-296,-6.12e-296,-5.98e-296,-6.12e-296,-6.12e-296,-5.96e-296
"60",-1.66e-295,-1.62e-295,-1.63e-295,-1.67e-295,-1.62e-295,-1.63e-295,-1.67e-295,-1.66e-295,-1.63e-295,-1.67e-295,-1.66e-295,-1.62e-295
"61",-4.54e-295,-4.41e-295,-4.44e-295,-4.57e-295,-4.41e-295,-4.44e-295,-4.57e-295,-4.54e-295,-4.44e-295,-4.57e-295,-4.54e-295,-4.41e-295
"62",-1.22e-294,-1.2e-294,-1.2e-294,-1.22e-294,-1.2e-294,-1.2e-294,-1.22e-294,-1.22e-294,-1.2e-294,-1.22e-294,-1.22e-294,-1.2e-294
"63",-3.33e-294,-3.24e-294,-3.25e-294,-3.33e-294,-3.24e-294,-3.25e-294,-3.33e-294,-3.33e-294,-3.25e-294,-3.33e-294,-3.33e-294,-3.24e-294
"64",-9.11e-294,-8.87e-294,-8.89e-294,-9.08e-294,-8.87e-294,-8.89e-294,-9.08e-294,-9.11e-294,-8.89e-294,-9.08e-294,-9.11e-294,-8.87e-294
"65",-2.47e-293,-2.41e-293,-2.41e-293,-2.48e-293,-2.41e-293,-2.41e-293,-2.48e-293,-2.47e-293,-2.41e-293,-2.48e-293,-2.47e-293,-2.41e-293
"66",-6.72e-293,-6.54e-293,-6.53e-293,-6.71e-293,-6.54e-293,-6.53e-293,-6.71e-293,-6.72e-293,-6.53e-293,-6.71e-293,-6.72e-293,-6.54e-293
"67",-1.83e-292,-1.79e-292,-1.78e-292,-1.84e-292,-1.79e-292,-1.78e-292,-1.84e-292,-1.83e-292,-1.78e-292,-1.84e-292,-1.83e-292,-1.79e-292
"68",-4.97e-292,-4.84e-292,-4.85e-292,-4.98e-292,-4.84e-292,-4.85e-292,-4.98e-292,-4.97e-292,-4.85e-292,-4.98e-292,-4.97e-292,-4.84e-292
"69",-1.35e-291,-1.31e-291,-1.31e-291,-1.35e-291,-1.31e-291,-1.31e-291,-1.35e-291,-1.35e-291,-1.31e-291,-1.35e-291,-1.35e-291,-1.31e-291
"70",-3.68e-291,-3.59e-291,-3.58e-291,-3.7e-291,-3.59e-291,-3.58e-291,-3.7e-291,-3.68e-291,-3.58e-291,-3.7e-291,-3.68e-291,-3.59e-291
"71",-9.96e-291,-9.68e-291,-9.72e-291,-1e-290,-9.68e-291,-9.72e-291,-1e-290,-9.96e-291,-9.72e-291,-1e-290,-9.96e-291,-9.68e-291
"72",-2.72e-290,-2.64e-290,-2.63e-290,-2.72e-290,-2.64e-290,-2.63e-290,-2.72e-290,-2.72e-290,-2.63e-290,-2.72e-290,-2.72e-290,-2.64e-290
"73",-7.36e-290,-7.18e-290,-7.13e-290,-7.36e-290,-7.18e-290,-7.13e-290,-7.36e-290,-7.36e-290,-7.13e-290,-7.36e-290,-7.36e-290,-7.18e-290
"74",-2e-289,-1.95e-289,-1.94e-289,-2e-289,-1.95e-289,-1.94e-289,-2e-289,-2e-289,-1.94e-289,-2e-289,-2e-289,-1.95e-289
"75",-5.43e-289,-5.29e-289,-5.29e-289,-5.41e-289,-5.29e-289,-5.29e-289,-5.41e-289,-5.43e-289,-5.29e-289,-5.41e-289,-5.43e-289,-5.29e-289
"76",-1.48e-288,-1.45e-288,-1.44e-288,-1.48e-288,-1.45e-288,-1.44e-288,-1.48e-288,-1.48e-288,-1.44e-288,-1.48e-288,-1.48e-288,-1.45e-288
